,Date,weather.station,origin,destination,loc,origin.tract,destination.tract,Distance,post,treated,month,dayofweek,traveltime.mileEvening,median.age,median.income,per.male,per.female,per.white,per.bachelors,numvehicles,transScore,transRoutes,NumBikeshare,WalkScore,totalschool,undergrad,grad,college,dest.long,dest.lat,origin.long,origin.lat,Precip
21,6/25/19,DEKALB-PEACHTREE AIRPORT,303.2,312.11,c,30320,31211,4.700134058,False,False,6,Tuesday,1.166633391,42.0,57461,47.58,52.42,69.49,45.71,3550,2.6,3,3,1,1501,198,59,257,-84.4790865,33.8575174,-84.45224,33.9217087,0
22,6/25/19,DEKALB-PEACHTREE AIRPORT,13.0,12.01,m,1300,1201,0.502386569,False,True,6,Tuesday,6.270072078,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.380305,33.7763742,-84.3715699,33.7761933,0
23,6/25/19,DEKALB-PEACHTREE AIRPORT,4.0,10.01,m,400,1001,0.774324455,False,True,6,Tuesday,7.53344841,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.3902405,33.7828223,-84.3785105,33.7883241,0
24,6/25/19,DEKALB-PEACHTREE AIRPORT,5.0,13.0,m,500,1300,1.594004151,False,True,6,Tuesday,6.074848254,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3715699,33.7761933,-84.3854516,33.7961417,0
25,6/25/19,DEKALB-PEACHTREE AIRPORT,4.0,11.0,m,400,1100,0.387231811,False,True,6,Tuesday,5.293986556,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.3830169,33.7841633,-84.3785105,33.7883241,0
26,6/25/19,DEKALB-PEACHTREE AIRPORT,11.0,4.0,m,1100,400,0.387231811,False,True,6,Tuesday,4.820540604,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.3785105,33.7883241,-84.3830169,33.7841633,0
27,6/25/19,DEKALB-PEACHTREE AIRPORT,13.0,10.01,m,1300,1001,1.167271662,False,True,6,Tuesday,6.453796128,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.3902405,33.7828223,-84.3715699,33.7761933,0
28,6/25/19,DEKALB-PEACHTREE AIRPORT,13.0,11.0,m,1300,1100,0.858514772,False,True,6,Tuesday,7.551801725,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.3830169,33.7841633,-84.3715699,33.7761933,0
29,6/25/19,FULTON CO-BROWN FLD ARPT,10.01,11.0,m,1001,1100,0.425523969,False,True,6,Tuesday,5.718440106,26.0,30290,64.5,35.5,54.01,37.55,765,9.6,61,4,84,1498,900,536,1436,-84.3830169,33.7841633,-84.3902405,33.7828223,0
30,6/25/19,FULTON CO-BROWN FLD ARPT,12.02,10.01,m,1202,1001,0.509818637,False,True,6,Tuesday,5.361383702,34.4,62728,61.28,38.72,69.74,43.34,2395,9.6,52,7,90,748,375,289,664,-84.3902405,33.7828223,-84.3851557,33.776784,0
31,6/25/19,FULTON CO-BROWN FLD ARPT,312.07,312.11,c,31207,31211,1.413699333,False,False,6,Tuesday,1.509043177,35.5,54383,43.63,56.37,49.71,34.02,2720,5.9,6,0,32,797,405,116,521,-84.4790865,33.8575174,-84.466061,33.8748589,0
32,6/25/19,FULTON CO-BROWN FLD ARPT,312.07,303.39,c,31207,30339,0.98255733,False,False,6,Tuesday,2.730968719,35.5,54383,43.63,56.37,49.71,34.02,2720,5.9,6,0,32,797,405,116,521,-84.4520485,33.88301,-84.466061,33.8748589,0
33,6/25/19,FULTON CO-BROWN FLD ARPT,303.45,312.07,c,30345,31207,1.550211998,False,False,6,Tuesday,2.376019111,30.0,49812,48.35,51.65,25.03,37.0,2670,5.3,6,3,22,1239,209,73,282,-84.466061,33.8748589,-84.4675841,33.8972346,0
34,6/25/19,FULTON CO-BROWN FLD ARPT,303.39,312.11,c,30339,31211,2.349627561,False,False,6,Tuesday,2.184743412,30.8,40477,52.73,47.27,63.19,44.04,4140,5.2,5,3,26,1262,637,329,966,-84.4790865,33.8575174,-84.4520485,33.88301,0
35,6/25/19,FULTON CO-BROWN FLD ARPT,303.44,303.2,c,30344,30320,1.654133801,False,False,6,Tuesday,2.418184066,31.0,36851,43.02,56.98,29.93,35.47,2215,4.9,4,0,23,988,333,89,422,-84.45224,33.9217087,-84.4754314,33.9075148,0
36,6/25/19,FULTON CO-BROWN FLD ARPT,303.39,303.2,c,30339,30320,2.676838874,False,False,6,Tuesday,2.197866069,30.8,40477,52.73,47.27,63.19,44.04,4140,5.2,5,3,26,1262,637,329,966,-84.45224,33.9217087,-84.4520485,33.88301,0
37,6/25/19,FULTON CO-BROWN FLD ARPT,12.01,11.0,m,1201,1100,0.560883959,False,True,6,Tuesday,4.189814953,32.7,49606,52.87,47.13,73.43,31.83,2120,9.3,53,3,91,714,106,280,386,-84.3830169,33.7841633,-84.380305,33.7763742,0
38,6/25/19,FULTON CO-BROWN FLD ARPT,303.45,303.39,c,30345,30339,1.328099219,False,False,6,Tuesday,2.095726957,30.0,49812,48.35,51.65,25.03,37.0,2670,5.3,6,3,22,1239,209,73,282,-84.4520485,33.88301,-84.4675841,33.8972346,0
