,Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Precip,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept
35,6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9.0,7,0,0,Tuesday,23111,23112,231.11,231.12,0,-84.2386721,33.7648909,0.684714316,730,559,449,93,0,0,2.580151498,0,0,0,0,0,0,6,1,0,0
36,6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,92,94.02,92.0,1,-84.3618468,33.8122786,0.91592463,2925,1119,195,924,0,0,1.71047553,0,0,0,0,0,0,6,1,0,0
37,6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21413,214.05,214.13,0,-84.3234915,33.8518694,1.058973442,2665,903,535,240,0,0,3.730027444,0,0,0,0,0,0,6,1,0,0
38,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,29,30.0,29.0,1,-84.3693491,33.7580053,0.904754173,480,625,329,244,0,0,3.997402583,0,0,0,0,0,0,6,1,0,0
39,6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,9404,94.03,94.04,1,-84.351653,33.8381071,0.6255163,2340,1211,548,583,0,0,2.398019046,0,0,0,0,0,0,6,1,0,0
40,6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,21415,94.03,214.15,1,-84.3448974,33.8397088,0.881228872,2340,1211,548,583,0,0,7.073455635,0,0,0,0,0,0,6,1,0,0
41,6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9.0,7,0,0,Tuesday,23111,23114,231.11,231.14,0,-84.2300879,33.7808851,0.787910613,730,559,449,93,0,0,2.199911138,0,0,0,0,0,0,6,1,0,0
42,6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,9403,94.02,94.03,1,-84.3599075,33.8315945,0.798930745,2925,1119,195,924,0,0,1.335117811,0,0,0,0,0,0,6,1,0,0
43,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,205,204.0,205.0,1,-84.3416194,33.7526586,0.671102085,2305,677,468,128,0,0,5.463649646,0,0,0,0,0,0,6,1,0,0
44,6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9.0,7,0,0,Tuesday,23111,23204,231.11,232.04,0,-84.21084,33.7748198,1.061398394,730,559,449,93,0,0,3.721505538,0,0,0,0,0,0,6,1,0,0
45,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,202,204.0,202.0,1,-84.3401136,33.7755362,0.91372647,2305,677,468,128,0,0,3.337979255,0,0,0,0,0,0,6,1,0,0
46,6/25/19,DEKALB-PEACHTREE AIRPORT,Decatur ,33.7746118,-84.29751,225.0,none,0,95,8.6,8,0,0,Tuesday,225,228,225.0,228.0,0,-84.289345,33.7630876,0.925122286,1810,2264,1544,434,0,0,6.179363265,0,0,0,0,0,0,6,1,0,0
47,6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9.0,11,0,0,Tuesday,23113,230,231.13,230.0,0,-84.2684881,33.7708628,1.003824971,985,645,356,176,0,0,1.826347607,0,0,0,0,0,0,6,1,0,0
48,6/25/19,DEKALB-PEACHTREE AIRPORT,Dunwoody  ,33.920888,-84.34428,212.15,free,1,50,7.6,8,0,0,Tuesday,21215,21216,212.15,212.16,0,-84.3271655,33.9277554,1.091133664,2480,1382,1001,122,0,0,2.764708639,0,0,0,0,0,0,6,1,0,0
49,6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21416,214.05,214.16,0,-84.3339712,33.847324,0.904830283,2665,903,535,240,0,0,1.713028431,0,0,0,0,0,0,6,1,0,0
50,6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9.0,11,0,0,Tuesday,23113,23102,231.13,231.02,0,-84.2570051,33.7656513,0.55287283,985,645,356,176,0,0,4.461544377,0,0,0,0,0,0,6,1,0,0
51,6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9.0,11,0,0,Tuesday,23113,23115,231.13,231.15,0,-84.2414147,33.7738177,0.570549243,985,645,356,176,0,0,2.074024894,0,0,0,0,0,0,6,1,0,0
52,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,16,30.0,16.0,1,-84.3557938,33.7676383,0.694291561,480,625,329,244,0,0,2.712597185,0,0,0,0,0,0,6,1,0,0
53,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,203,204.0,203.0,1,-84.3300628,33.76617,0.682333634,2305,677,468,128,0,0,3.834878623,0,0,0,0,0,0,6,1,0,0
54,6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,93,94.02,93.0,1,-84.3808773,33.8212723,0.646152672,2925,1119,195,924,0,0,4.513897094,0,0,0,0,0,0,6,1,0,0
55,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,206,204.0,206.0,1,-84.3356822,33.7576172,0.447893764,2305,677,468,128,0,0,6.065426413,0,0,0,0,0,0,6,1,0,0
56,6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21102,214.05,211.02,0,-84.3404499,33.8707508,0.773440507,2665,903,535,240,0,0,3.641736684,0,0,0,0,0,0,6,1,0,0
57,6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26.0,none,0,73,9.6,57,0,0,Tuesday,26,28,26.0,28.0,1,-84.379399,33.758087,1.063123455,615,556,333,164,0,0,9.67275558,0,0,0,0,0,0,6,1,0,0
58,6/25/19,FULTON CO-BROWN FLD ARPT,King Memorial,33.7502611,-84.3758206,119.0,none,0,91,9.7,54,11,0,Tuesday,119,48,119.0,48.0,1,-84.3839375,33.7443312,0.621440121,1040,1134,107,1026,0,0,5.310246136,0,0,0,0,0,0,6,1,0,0
59,6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,1002,12.02,10.02,1,-84.3995394,33.7763249,0.809622841,2395,748,69,664,0,0,5.887515056,0,0,0,0,0,0,6,1,0,0
60,6/25/19,FULTON CO-BROWN FLD ARPT,H.E. Holmes,33.754489,-84.4692986,81.02,free,1,43,9.1,14,0,0,Tuesday,8102,8301,81.02,83.01,1,-84.4588616,33.7642262,0.902154503,1640,1736,1564,172,0,0,1.884377892,0,0,0,0,0,0,6,1,0,0
61,6/25/19,FULTON CO-BROWN FLD ARPT,H.E. Holmes,33.754489,-84.4692986,81.02,free,1,43,9.1,14,0,0,Tuesday,8102,8302,81.02,83.02,1,-84.452286,33.7573898,0.998746768,1640,1736,1564,172,0,0,4.40552114,0,0,0,0,0,0,6,1,0,0
62,6/25/19,FULTON CO-BROWN FLD ARPT,King Memorial,33.7502611,-84.3758206,119.0,none,0,91,9.7,54,11,0,Tuesday,119,49,119.0,49.0,1,-84.3794479,33.7409122,0.679491043,1040,1134,107,1026,0,0,4.954688809,0,0,0,0,0,0,6,1,0,0
63,6/25/19,FULTON CO-BROWN FLD ARPT,Ashby,33.756417,-84.4174518,25.0,free,1,66,9.3,9,1,0,Tuesday,25,43,25.0,43.0,1,-84.4091076,33.745362,0.902796026,605,609,296,289,0,0,6.775247666,0,0,0,0,0,0,6,1,0,0
64,6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26.0,none,0,73,9.6,57,0,0,Tuesday,26,38,26.0,38.0,1,-84.412023,33.7508286,0.903226219,615,556,333,164,0,0,3.413688915,0,0,0,0,0,0,6,1,0,0
65,6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,11,12.02,11.0,1,-84.3830169,33.7841633,0.882938589,2395,748,69,664,0,0,2.623814041,0,0,0,0,0,0,6,1,0,0
66,6/25/19,FULTON CO-BROWN FLD ARPT,West Lake,33.75287,-84.4445275,40.0,free,1,33,9.1,7,0,0,Tuesday,40,84,40.0,84.0,1,-84.4355748,33.7618564,0.807129001,680,496,362,115,0,0,3.572332711,0,0,0,0,0,0,6,1,0,0
67,6/25/19,FULTON CO-BROWN FLD ARPT,Bankhead,33.7722776,-84.4294781,85.0,limited,1,24,8.1,5,0,0,Tuesday,85,7,85.0,7.0,1,-84.4233152,33.7799333,0.637166314,505,420,306,90,0,0,6.565528087,0,0,0,0,0,0,6,1,0,0
68,6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26.0,none,0,73,9.6,57,0,0,Tuesday,26,44,26.0,44.0,1,-84.4017693,33.7407725,1.098061349,615,556,333,164,0,0,5.251679857,0,0,0,0,0,0,6,1,0,0
69,6/25/19,FULTON CO-BROWN FLD ARPT,Garnett   ,33.747845,-84.396415,35.0,none,0,79,9.8,56,4,0,Tuesday,35,120,35.0,120.0,1,-84.392823,33.7361403,0.835568581,460,374,9,365,0,0,1.675505796,0,0,0,0,0,0,6,1,0,0
70,6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,19,12.02,19.0,1,-84.3872629,33.7661963,0.385948579,2395,748,69,664,0,0,10.57999319,0,0,0,0,0,0,6,1,0,0
71,6/25/19,FULTON CO-BROWN FLD ARPT,Ashby,33.756417,-84.4174518,25.0,free,1,66,9.3,9,1,0,Tuesday,25,39,25.0,39.0,1,-84.4220948,33.7500627,0.514285765,605,609,296,289,0,0,6.902777091,0,0,0,0,0,0,6,1,0,0
