OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5241,{A1AF2958-B26B-4D9F-84C1-DD3D23CE6C0C},2019/09/06 15:40:46+00,87,25,Peachtree Industrial Boulevard,Route 25 - Doraville Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5242,{F1E2DB16-3FBC-4640-B862-2377625ACB59},2019/09/06 15:40:46+00,273,94,Northside Drive,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5243,{6D3FBB81-D29B-4558-83E4-FE89C97FE472},2019/09/06 15:40:46+00,596,201,Six Flags Over Georgia,Route 201 - Six Flags Over Georgia,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5244,{AC0C635D-641F-4C47-8F27-D5EC60BF78B6},2019/09/06 15:40:46+00,145,49,McDonough Boulevard,Route 49- Five Points Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5245,{93D27F5E-7B04-4B4E-86BA-F16E7B79DD1E},2019/09/06 15:40:46+00,281,104,Winters Chapel Road,Route 104 - Tilly Mill Road,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5246,{F537ADD4-A961-4D8F-AEBC-C2F6707EDAF4},2019/09/06 15:40:46+00,591,201,Six Flags Over Georgia,Route 201 - H. E. Holmes Station / CC Transit,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5247,{E7EB23CE-391C-4617-BDB9-C1A0B4406912},2019/09/06 15:40:46+00,441,150,Perimeter Center / Dunwoody Village,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5248,{DB02B527-DBB3-45A9-AA0B-BD2C90E4F9E8},2019/09/06 15:40:46+00,330,121,Memorial Drive / N Hairston Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5249,{E785A131-5330-48D0-84C2-DA91971E91D9},2019/09/06 15:40:46+00,79,21,Memorial Drive,Route 21 - Kensington Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5250,{08AE64F7-C8B3-4929-8CC6-E0B9CEF13D98},2019/09/06 15:40:46+00,51,14,14th Street / Blandtown,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
