,minutes_per_mile,treated,post,scooter,origin_tract,destination,day_of_week,month,numvehicles,totalschool,tract,date,transit.routes,walk.score,bike.hubs,precip,week_num
47,1.3635486377055654,0,1,1,30320,30339,Wednesday,9,3550,1501,cumberland,2018-09-05,3,1,3,0,36
48,1.668634862580327,0,1,1,30320,30339,Thursday,9,3550,1501,cumberland,2018-09-06,3,1,3,0,36
49,1.6934567442323518,0,0,1,30320,31207,Thursday,7,3550,1501,cumberland,2018-07-12,3,1,3,0,28
50,3.466840650434372,0,0,1,30320,31207,Saturday,7,3550,1501,cumberland,2018-07-14,3,1,3,0,28
51,1.7534021157096031,0,0,1,30320,31207,Sunday,7,3550,1501,cumberland,2018-07-15,3,1,3,1,28
52,2.1130743445731115,0,0,1,30320,31207,Monday,7,3550,1501,cumberland,2018-07-16,3,1,3,1,29
53,1.9931836016186089,0,0,1,30320,31207,Tuesday,7,3550,1501,cumberland,2018-07-17,3,1,3,0,29
54,2.36784217335143,0,0,1,30320,31207,Wednesday,7,3550,1501,cumberland,2018-07-18,3,1,3,0,29
55,1.8682974110410016,0,0,1,30320,31207,Thursday,7,3550,1501,cumberland,2018-07-19,3,1,3,1,29
56,2.61261910688354,0,0,1,30320,31207,Friday,7,3550,1501,cumberland,2018-07-20,3,1,3,0,29
57,1.523611525046806,0,0,1,30320,31207,Sunday,7,3550,1501,cumberland,2018-07-22,3,1,3,1,29
58,2.038142630226547,0,0,1,30320,31207,Monday,7,3550,1501,cumberland,2018-07-23,3,1,3,1,30
59,2.0581244207189644,0,0,1,30320,31207,Tuesday,7,3550,1501,cumberland,2018-07-24,3,1,3,1,30
60,1.8882792015334189,0,0,1,30320,31207,Wednesday,7,3550,1501,cumberland,2018-07-25,3,1,3,0,30
61,2.9173414118929006,0,0,1,30320,31207,Thursday,7,3550,1501,cumberland,2018-07-26,3,1,3,0,30
62,1.5835568965240574,0,0,1,30320,31207,Sunday,7,3550,1501,cumberland,2018-07-29,3,1,3,0,30
63,2.242955982773823,0,0,1,30320,31207,Monday,7,3550,1501,cumberland,2018-07-30,3,1,3,0,31
64,2.0731107635882773,0,0,1,30320,31207,Tuesday,7,3550,1501,cumberland,2018-07-31,3,1,3,1,31
65,2.3478603828590128,0,0,1,30320,31207,Wednesday,8,3550,1501,cumberland,2018-08-01,3,1,3,1,31
66,2.01816083973413,0,0,1,30320,31207,Thursday,8,3550,1501,cumberland,2018-08-02,3,1,3,1,31
67,1.5136206298005976,0,0,1,30320,31207,Saturday,8,3550,1501,cumberland,2018-08-04,3,1,3,0,31
68,1.853311068171689,0,0,1,30320,31207,Sunday,8,3550,1501,cumberland,2018-08-05,3,1,3,0,31
69,2.5177056020445585,0,0,1,30320,31207,Monday,8,3550,1501,cumberland,2018-08-06,3,1,3,0,32
70,2.422792097205577,0,0,1,30320,31207,Tuesday,8,3550,1501,cumberland,2018-08-07,3,1,3,0,32
71,1.663484058493726,0,0,1,30320,31207,Wednesday,8,3550,1501,cumberland,2018-08-08,3,1,3,1,32
72,1.8882792015334189,0,1,1,30320,31207,Thursday,8,3550,1501,cumberland,2018-08-09,3,1,3,1,32
73,2.163028820804154,0,1,1,30320,31207,Friday,8,3550,1501,cumberland,2018-08-10,3,1,3,0,32
74,2.667569030737687,0,1,1,30320,31207,Saturday,8,3550,1501,cumberland,2018-08-11,3,1,3,0,32
75,2.178015163673467,0,1,1,30320,31207,Sunday,8,3550,1501,cumberland,2018-08-12,3,1,3,0,32
76,1.908260992025836,0,1,1,30320,31207,Monday,8,3550,1501,cumberland,2018-08-13,3,1,3,0,33
77,2.178015163673467,0,1,1,30320,31207,Tuesday,8,3550,1501,cumberland,2018-08-14,3,1,3,0,33
78,2.26293777326624,0,1,1,30320,31207,Wednesday,8,3550,1501,cumberland,2018-08-15,3,1,3,0,33
79,2.5526737354062887,0,1,1,30320,31207,Thursday,8,3550,1501,cumberland,2018-08-16,3,1,3,0,33
80,1.6385068203782047,0,1,1,30320,31207,Sunday,8,3550,1501,cumberland,2018-08-19,3,1,3,1,33
81,1.853311068171689,0,1,1,30320,31207,Monday,8,3550,1501,cumberland,2018-08-20,3,1,3,1,34
82,2.0831016588344857,0,1,1,30320,31207,Tuesday,8,3550,1501,cumberland,2018-08-21,3,1,3,1,34
83,1.938233677764461,0,1,1,30320,31207,Wednesday,8,3550,1501,cumberland,2018-08-22,3,1,3,0,34
84,2.1330561350655284,0,1,1,30320,31207,Thursday,8,3550,1501,cumberland,2018-08-23,3,1,3,0,34
85,2.093092554080694,0,1,1,30320,31207,Friday,8,3550,1501,cumberland,2018-08-24,3,1,3,0,34
86,1.838324725302376,0,1,1,30320,31207,Saturday,8,3550,1501,cumberland,2018-08-25,3,1,3,0,34
87,1.9931836016186089,0,1,1,30320,31207,Sunday,8,3550,1501,cumberland,2018-08-26,3,1,3,0,34
88,1.463666153569555,0,1,1,30320,31207,Monday,8,3550,1501,cumberland,2018-08-27,3,1,3,0,35
89,2.457760230567307,0,1,1,30320,31207,Tuesday,8,3550,1501,cumberland,2018-08-28,3,1,3,0,35
90,1.7733839062020205,0,1,1,30320,31207,Wednesday,8,3550,1501,cumberland,2018-08-29,3,1,3,0,35
91,4.336048536854517,0,1,1,30320,31207,Thursday,8,3550,1501,cumberland,2018-08-30,3,1,3,0,35
92,2.103083449326903,0,1,1,30320,31207,Friday,8,3550,1501,cumberland,2018-08-31,3,1,3,0,35
93,2.4177966495824728,0,1,1,30320,31207,Sunday,9,3550,1501,cumberland,2018-09-02,3,1,3,0,35
94,1.4286980202078248,0,1,1,30320,31207,Monday,9,3550,1501,cumberland,2018-09-03,3,1,3,0,36
95,2.8823732785311718,0,1,1,30320,31207,Tuesday,9,3550,1501,cumberland,2018-09-04,3,1,3,0,36
96,1.7434112204633945,0,1,1,30320,31207,Wednesday,9,3550,1501,cumberland,2018-09-05,3,1,3,0,36
