"","Travel.Time.per.Mile..Minutes.Mile.","post","treatment","June","Aug","Sept","Mon","Wed","Thur","Fri","Sat","Sun","Vehicles","TransRoutes","WalkScore","NumBikeshare","school.population","event","Precip","tract","Date","DoW"
"47",5.96396083425639,0,1,1,0,0,0,0,0,0,0,0,2245,3,82,2,956,0,0,100.01,"2019-06-25","Tuesday"
"48",1.33511781067351,0,1,1,0,0,0,0,0,0,0,0,2925,9,79,0,1119,0,0,94.02,"2019-06-25","Tuesday"
"49",5.463649646121,0,1,1,0,0,0,0,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-25","Tuesday"
"50",3.72150553795903,0,0,1,0,0,0,0,0,0,0,0,730,7,14,0,559,0,0,231.11,"2019-06-25","Tuesday"
"51",3.33797925453014,0,1,1,0,0,0,0,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-25","Tuesday"
"52",6.17936326477999,0,0,1,0,0,0,0,0,0,0,0,1810,8,95,0,2264,0,0,225,"2019-06-25","Tuesday"
"53",1.82634760707902,0,0,1,0,0,0,0,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-25","Tuesday"
"54",2.76470863896321,0,0,1,0,0,0,0,0,0,0,0,2480,8,50,0,1382,0,0,212.15,"2019-06-25","Tuesday"
"55",1.713028431223,0,0,1,0,0,0,0,0,0,0,0,2665,5,74,0,903,0,0,214.05,"2019-06-25","Tuesday"
"56",4.46154437677659,0,0,1,0,0,0,0,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-25","Tuesday"
"57",2.07402489446731,0,0,1,0,0,0,0,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-25","Tuesday"
"58",2.71259718507655,0,1,1,0,0,0,0,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-25","Tuesday"
"59",3.8348786227838,0,1,1,0,0,0,0,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-25","Tuesday"
"60",4.51389709358773,0,1,1,0,0,0,0,0,0,0,0,2925,9,79,0,1119,0,0,94.02,"2019-06-25","Tuesday"
"61",6.51709166068371,0,0,1,0,0,0,0,0,0,0,0,2610,9,59,3,1375,0,0,101.1,"2019-06-25","Tuesday"
"62",6.06542641300249,0,1,1,0,0,0,0,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-25","Tuesday"
"63",3.64173668380852,0,0,1,0,0,0,0,0,0,0,0,2665,5,74,0,903,0,0,214.05,"2019-06-25","Tuesday"
"64",9.67275557960002,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"65",5.31024613615606,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
