Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept,Precip,dayofweek,festival
6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30,free,1,78,9,13,5,0,Tuesday,30,205,30,205,1,-84.3416194,33.7526586,0.775244278,480,625,329,244,0,5.310154213,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Avondale,33.7756856,-84.2817456,226,free,1,68,9,10,0,0,Tuesday,226,22203,226,222.03,0,-84.2744189,33.786476,0.857039849,2015,1666,1202,255,0,5.561779506,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Avondale,33.7756856,-84.2817456,226,free,1,68,9,10,0,0,Tuesday,226,230,226,230,0,-84.2684881,33.7708628,0.832076554,2015,1666,1202,255,0,6.810270805,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,9602,94.03,96.02,1,-84.3614068,33.844113,0.149550546,2340,1211,548,583,0,10.14149872,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Chamblee  ,33.8879223,-84.3049086,212.04,free,1,63,8.6,9,0,0,Tuesday,21204,21208,212.04,212.08,0,-84.3036535,33.9012348,0.923650452,525,720,689,10,0,3.897578343,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Medical Center  ,33.9105547,-84.3516887,101.15,free,1,31,8.1,11,0,0,Tuesday,10115,10110,101.15,101.1,0,-84.3632094,33.9205399,0.956230576,1260,476,311,99,0,2.230982136,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,9603,94.02,96.03,1,-84.3757572,33.8343705,0.81162088,2925,1119,195,924,0,5.667670847,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,9601,94.03,96.01,1,-84.3777069,33.8463916,1.083197423,2340,1211,548,583,0,4.462098255,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30,free,1,78,9,13,5,0,Tuesday,30,17,30,17,1,-84.3671952,33.7659024,0.962447662,480,625,329,244,0,4.467775412,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4,limited,1,87,9.2,39,7,0,Tuesday,4,1201,4,12.01,1,-84.380305,33.7763742,0.941221768,1655,347,169,178,0,5.205999444,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
